REF_DATE,DGUID,GEO,Sector,Characteristics,Indicators,UOM,SCALAR_FACTOR,VALUE
2013,2016A000011124,Canada,Total non-profit institutions,Male employees,Hours worked,Hours,thousands,1102192.0
2013,2016A000011124,Canada,Total non-profit institutions,Female employees,Hours worked,Hours,thousands,2431057.0
2013,2016A000011124,Canada,Total non-profit institutions,Immigrant employees,Hours worked,Hours,thousands,855223.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-immigrant employees,Hours worked,Hours,thousands,2678028.0
2013,2016A000011124,Canada,Total non-profit institutions,Indigenous identity employees,Hours worked,Hours,thousands,130908.0
2013,2016A000011124,Canada,Total non-profit institutions,Non-indigenous identity employees,Hours worked,Hours,thousands,3402343.0
2013,2016A000011124,Canada,Total non-profit institutions,Visible minority,Hours worked,Hours,thousands,810650.0
2013,2016A000011124,Canada,Total non-profit institutions,Not a visible minority,Hours worked,Hours,thousands,2722599.0
2013,2016A000011124,Canada,Total non-profit institutions,High school diploma and less,Hours worked,Hours,thousands,622876.0
2013,2016A000011124,Canada,Total non-profit institutions,Trade certificate,Hours worked,Hours,thousands,276386.0
2013,2016A000011124,Canada,Total non-profit institutions,College diploma,Hours worked,Hours,thousands,958427.0
2013,2016A000011124,Canada,Total non-profit institutions,University degree and higher,Hours worked,Hours,thousands,1675561.0
2013,2016A000011124,Canada,Total non-profit institutions,15 to 24 years,Hours worked,Hours,thousands,214477.0
2013,2016A000011124,Canada,Total non-profit institutions,25 to 34 years,Hours worked,Hours,thousands,743219.0
2013,2016A000011124,Canada,Total non-profit institutions,35 to 44 years,Hours worked,Hours,thousands,804389.0
2013,2016A000011124,Canada,Total non-profit institutions,45 to 54 years,Hours worked,Hours,thousands,955066.0
2013,2016A000011124,Canada,Total non-profit institutions,55 to 64 years,Hours worked,Hours,thousands,689447.0
2013,2016A000011124,Canada,Total non-profit institutions,65 years old and over,Hours worked,Hours,thousands,126654.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Male employees,Hours worked,Hours,thousands,441810.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Female employees,Hours worked,Hours,thousands,738170.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Immigrant employees,Hours worked,Hours,thousands,267945.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-immigrant employees,Hours worked,Hours,thousands,912039.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Indigenous identity employees,Hours worked,Hours,thousands,50751.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Non-indigenous identity employees,Hours worked,Hours,thousands,1129233.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Visible minority,Hours worked,Hours,thousands,260197.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Not a visible minority,Hours worked,Hours,thousands,919786.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,High school diploma and less,Hours worked,Hours,thousands,274148.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,Trade certificate,Hours worked,Hours,thousands,82605.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,College diploma,Hours worked,Hours,thousands,295286.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,University degree and higher,Hours worked,Hours,thousands,527946.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,15 to 24 years,Hours worked,Hours,thousands,85937.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,25 to 34 years,Hours worked,Hours,thousands,250988.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,35 to 44 years,Hours worked,Hours,thousands,265338.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,45 to 54 years,Hours worked,Hours,thousands,297250.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,55 to 64 years,Hours worked,Hours,thousands,228711.0
2013,2016A000011124,Canada,Total non-profit institutions excluding governments,65 years old and over,Hours worked,Hours,thousands,51764.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Male employees,Hours worked,Hours,thousands,296926.0
2013,2016A000011124,Canada,Non-profit institutions serving households (community organizations),Female employees,Hours worked,Hours,thousands,583865.0
